geometry,name,lon,lat
POINT (100.7469919118414 13.7456672734485),บางจาก,100.7469919118414,13.7456672734485
POINT (100.59072266181758 13.815046952420408),Susco,100.59072266181758,13.815046952420408
POINT (100.49672050099012 13.76352117643621),ปตท,100.49672050099012,13.76352117643621
POINT (100.45805015342413 13.672809969990919),ป.ต.ท.,100.45805015342413,13.672809969990919
POINT (100.53256698597507 13.825259478895994),เชลล์,100.53256698597507,13.825259478895994
POINT (100.64211460000897 13.728144650157555),บางจาก,100.64211460000897,13.728144650157555
POINT (100.61751240694133 13.670436741920101),บางจาก,100.61751240694133,13.670436741920101
POINT (100.39344582229361 13.625252953513336),P T T,100.39344582229361,13.625252953513336
POINT (100.39053007647662 13.622291382744208),Shell Station,100.39053007647662,13.622291382744208
POINT (100.5360422996392 13.761788099668157),PTT,100.5360422996392,13.761788099668157
POINT (100.53620633497933 13.788577832549157),บางจาก,100.53620633497933,13.788577832549157
POINT (100.60382779652195 13.685965133226254),ป.ต.ท.,100.60382779652195,13.685965133226254
POINT (100.6152210473059 13.663725972591164),Bangchak,100.6152210473059,13.663725972591164
POINT (100.52554318963178 13.751245654268393),Shell,100.52554318963178,13.751245654268393
POINT (100.60167258600904 13.685636176473873),PTT,100.60167258600904,13.685636176473873
POINT (100.6056237358681 13.695301308375656),Bangchak Sukhumvit 62,100.6056237358681,13.695301308375656
POINT (100.52494902219767 13.734703280054509),ปั้มน้ำมัน ปตท สามย่าน,100.52494902219767,13.734703280054509
POINT (100.50489546457842 13.627037985943883),สถานีบริการ NGV ปตท. ประชาอุทิศปิโตรเลียม,100.50489546457842,13.627037985943883
POINT (100.50510949996745 13.627212250024265),สถานีบริการน้ำมัน PT สาขาทุ่งครุ,100.50510949996745,13.627212250024265
POINT (100.6270945079538 13.880931931921864),เชลล์,100.6270945079538,13.880931931921864
POINT (100.6305574109918 13.87801469017785),PTT,100.6305574109918,13.87801469017785
POINT (100.4652840407633 13.677260321165639),Sussco,100.4652840407633,13.677260321165639
POINT (100.67344936787987 13.777470155397909),Shell,100.67344936787987,13.777470155397909
POINT (100.66988463641454 13.775523782370527),เอสโซ่,100.66988463641454,13.775523782370527
POINT (100.66049370006694 13.776700200041981),บางจาก,100.66049370006694,13.776700200041981
POINT (100.65049620003407 13.811625600039909),PT,100.65049620003407,13.811625600039909
POINT (100.65270866916083 13.814907744064547),Caltex,100.65270866916083,13.814907744064547
POINT (100.44835582552703 13.74601564582132),Shell นำรุ่งเรือง (1992) สาขา4,100.44835582552703,13.74601564582132
POINT (100.46265461936251 13.715166567657265),PTT Station สาทร-ราชพฤกษ์,100.46265461936251,13.715166567657265
