LOCATION CODE,ROAD NAME,FIRST NAME,SECOND NAME,LATITUDE,LONGITUDE,NEGATIVE OFFSET,POSITIVE OFFSET,geometry,dist_to_osm_m,positive_ok,negative_ok
43022,Serithai Road,Shell,,13.77774,100.66387,43026,43017,POINT (100.66387 13.77774),0.8108614797368516,True,True
43017,Serithai Road,Mu Ban Sahakon Junction,,13.78573,100.67563,43022,43018,POINT (100.67563 13.78573),3.8753837182598607,True,True
43018,Serithai Road,Khlong Kum Inter-Change,,13.79167,100.68283,43017,43019,POINT (100.68283 13.79167),2.274580106998829,True,True
43019,Serithai Road,Suan Siam Junction,,13.79538,100.69129,43018,43020,POINT (100.69129 13.79538),3.45439521802731,True,True
43020,Serithai Road,Bang Chan Intersection,,13.80511,100.71231,43019,43021,POINT (100.71231 13.80511),5.146304356885386,True,True
43021,Serithai Road,Minburi Intersection-670,,13.81271,100.71769,43020,,POINT (100.71769 13.81271),0.4239833784583492,False,True
39003,Setsiri Rd.,Keschakomola Intersection-666,,13.78333,100.52441,,39004,POINT (100.52441 13.78333),1.3144010363329,True,False
39004,Setsiri Rd.,Setthasiri Junction-666,,13.78157,100.5306,39003,,POINT (100.5306 13.78157),1.1921112275242567,False,True
26501,Si Lom Road,Bang Rak Junction-538,,13.72218,100.51667,,26502,POINT (100.51667 13.72218),0.06838111553183847,True,False
26502,Si Lom Road,Surasak Intersection-538,,13.72317,100.51926,26501,26503,POINT (100.51926 13.72317),2.1382355707295755,True,True
26503,Si Lom Road,Pramuan Junction,,13.72406,100.52172,26502,26504,POINT (100.52172 13.72406),3.713385253474597,True,True
26504,Si Lom Road,Decho Junction,,13.72543,100.52556,26503,26505,POINT (100.52556 13.72543),5.89036804969644,True,True
26505,Si Lom Road,Nararum Intersection-538,,13.72632,100.52817,26504,26506,POINT (100.52817 13.72632),3.477790381007435,True,True
26506,Si Lom Road,Phiphat Junction,,13.72722,100.53066,26505,26507,POINT (100.53066 13.72722),1.369071060567404,True,True
26507,Si Lom Road,Silom-convent Junction,,13.72808,100.5331,26506,26509,POINT (100.5331 13.72808),4.561632423456387,True,True
26509,Si Lom Road,Sala Daeng BTS Station,,13.72854,100.5343,26507,26508,POINT (100.5343 13.72854),6.763373574591799,True,True
26508,Si Lom Road,Sala Daeng Intersection-538,,13.72955,100.53667,26509,,POINT (100.53667 13.72955),1.9590403102855345,False,True
14180,Si Phraya Road,Si Phraya Road,,13.73063,100.5182,,14181,POINT (100.5182 13.73063),0.24807123435110656,True,False
14181,Si Phraya Road,Naret Junction,,13.73156,100.52306,14180,14182,POINT (100.52306 13.73156),6.8753271796173,True,True
14182,Si Phraya Road,Sap Si Phraya Junction,,13.73222,100.52679,14181,14183,POINT (100.52679 13.73222),9.11864185876804,True,True
14183,Si Phraya Road,Sam Yan Intersection-609,,13.73286,100.52876,14182,,POINT (100.52876 13.73286),1.519284058518145,False,True
21000,Sirinthorn Rd.,Highway 341-338,,13.78766,100.46889,,21001,POINT (100.46889 13.78766),0.12865393009553136,True,False
21001,Sirinthorn Rd.,Soi Sirinthon 7,,13.79002,100.47832,21000,21002,POINT (100.47832 13.79002),3.7405134278975,True,True
21002,Sirinthorn Rd.,Soi Charatlap,,13.78765,100.48541,21001,21003,POINT (100.48541 13.78765),8.601807136652702,True,True
21003,Sirinthorn Rd.,Before Bangplat Intersection Overpass,,13.78615,100.48991,21002,21004,POINT (100.48991 13.78615),5.543857748048165,True,True
21004,Sirinthorn Rd.,Bang Phlat Intersection-526,,13.78456,100.49449,21003,21005,POINT (100.49449 13.78456),0.15192356451897526,True,True
21005,Sirinthorn Rd.,Charansanitwong 66/1,,13.78234,100.49962,21004,21006,POINT (100.49962 13.78234),7.60827588424683,True,True
21006,Sirinthorn Rd.,Krungthonburi Bridge - 526,,13.78074,100.50317,21005,,POINT (100.50317 13.78074),0.10521514644308476,False,True
47039,Soi 20 Mithuna,Ratchadaphisek 18,,13.78307,100.58241,,47040,POINT (100.58241 13.78307),3.1109592682828833,True,False
47040,Soi 20 Mithuna,Sutthisan Winitchai Road,,13.78959,100.58333,47039,,POINT (100.58333 13.78959),7.045717130598763,False,True
47046,Soi Ari 1,Rama 6 Soi 30,,13.77664,100.54108,,47047,POINT (100.54108 13.77664),5.7210401497902135,True,False
47047,Soi Ari 1,Phahon Yothin 5,,13.77788,100.54207,47046,,POINT (100.54207 13.77788),3.3039770464359846,False,True
47048,Soi Atsawa Phichet,Atsawa Phichet Road,,13.78192,100.41658,,47049,POINT (100.41658 13.78192),3.9947634055745147,True,False
47049,Soi Atsawa Phichet,Suan Phak 43,,13.78839,100.41621,47048,47050,POINT (100.41621 13.78839),4.409835001272314,True,True
47050,Soi Atsawa Phichet,Suan Phak Road,,13.79111,100.41563,47049,,POINT (100.41563 13.79111),0.5302013515479556,False,True
47058,Soi Chalaem Nimit,Charoen Rat 10,,13.69322,100.5079,,47059,POINT (100.5079 13.69322),2.865370037842667,True,False
47059,Soi Chalaem Nimit,Soi Sutprasoet 3,,13.69718,100.51041,47058,47060,POINT (100.51041 13.69718),2.872345217269934,True,True
47060,Soi Chalaem Nimit,Soi Sutprasoet 7,,13.70123,100.5121,47059,47061,POINT (100.5121 13.70123),3.104302612883256,True,True
47061,Soi Chalaem Nimit,Charoen Rat 8,,13.70487,100.51457,47060,,POINT (100.51457 13.70487),0.4103925885209036,False,True
47065,Soi Chan 18/7,Chan Road/Chan Road/Soi Chan 18/7,,13.7063,100.52676,,47066,POINT (100.52676 13.7063),0.01239124811987931,True,False
47066,Soi Chan 18/7,Soi Chan 18/7 Yaek 17,,13.71199,100.52674,47065,47067,POINT (100.52674 13.71199),1.2440960530907466,True,True
47067,Soi Chan 18/7,Sathon 11,,13.71368,100.52762,47066,,POINT (100.52762 13.71368),3.6647879399395973,False,True
47068,Soi Chan 18/7 Yaek 17,Yenchit Road,,13.71225,100.52415,,47069,POINT (100.52415 13.71225),1.6997245261897098,True,False
47069,Soi Chan 18/7 Yaek 17,Soi Chan 18/7,,13.71199,100.52674,47068,,POINT (100.52674 13.71199),1.2440960530907466,False,True
47070,Soi Chan 43 Yaek 27,Chan 43,,13.70253,100.52272,,47071,POINT (100.52272 13.70253),0.04879385338364453,True,False
